# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
ma3 	瑪	c=2 d=1.99005 t=1345
ma3 fang4 	碼放	c=1 d=1 t=449
ma5 	嗎	c=3 d=0.766989 t=1059
mai3 	買	c=1 d=1 t=678
man2 	蠻	c=4 d=1.59785 t=677
man3 nan2 	滿難	c=1 d=1 t=54
mei2 qu4 	沒去	c=1 d=1 t=474
mei2 shen2 me5 	沒什麼	c=1 d=1 t=841
mei2 you3 	沒有	c=2 d=1.94649 t=422
mei3 	美	c=1 d=1 t=562
mei3 ge5 ren2 	每個人	c=1 d=1 t=603
mei3 ri4 	每日	c=2 d=1.52466 t=916
men2 	門	c=3 d=2.69182 t=268
men2 shang4 	門上	c=1 d=1 t=146
mi4 mi4 	祕密	c=1 d=1 t=1
mian4 mao4 	面貌	c=1 d=1 t=617
min2 jian1 	民間	c=1 d=1 t=1359
ming2 jian4 	名劍	c=1 d=1 t=1358
mo2 shu4 	魔術	c=8 d=4.20248 t=1368
mo2 shu4 shi1 	魔術師	c=4 d=1.14787 t=1176
mo2 shu4 si3 	魔術死	c=1 d=1 t=482
mo4 shi4 	沒事	c=1 d=1.00112 t=1144
mo4 shi4 shi4 	沒事是	c=1 d=1 t=246
mou3 zhong3 	某種	c=1 d=1 t=1278
mu4 	暮	c=1 d=1 t=621
mu4 biao1 	目標	c=1 d=1 t=760
mu4 di4 	目的	c=1 d=1 t=1361
mu4 men2 	木門	c=4 d=3.16977 t=261
mu4 qian2 	目前	c=1 d=1 t=1395
mu4 shen2 	牧神	c=1 d=1 t=1048
mu4 zao4 	木造	c=3 d=1.96872 t=318
na2 chu1 	拿出	c=2 d=1.79852 t=200
na2 dao4 	拿到	c=2 d=1.06822 t=802
na2 diao4 	拿掉	c=1 d=1 t=375
na4 	那	c=4 d=1.1724 t=1376
na4 ge5 	那個	c=1 d=1 t=476
na4 shi4 jie4 ji2 	那世界級	c=1 d=1 t=613
nan2 	男	c=1 d=1 t=868
nan2 dao4 	難道	c=1 d=1 t=803
nan2 jing1 	南京	c=0 d=0.1 t=597
nao3 hai3 	腦海	c=1 d=1 t=489
ne5 	呢	c=1 d=1 t=771
neng2 li4 	能力	c=2 d=1.12556 t=1228
ni3 	你	c=3 d=1.37587 t=854
ni3 	妳	c=5 d=3.82204 t=806
ni3 de5 	你的	c=1 d=1 t=129
ni3 men5 	你們	c=0 d=0.1 t=1054
ni3 you3 	你有	c=1 d=1 t=749
ni4 shui3 	溺水	c=2 d=1.99005 t=978
nian2 	年	c=3 d=2.13239 t=1112
nian2 ji4 	年紀	c=1 d=1 t=695
nian2 ling2 	年齡	c=1 d=1 t=1122
ning2 jie2 	凝結	c=1 d=1 t=1002
nu2 	奴	c=1 d=1 t=1375
nv3 shi4 	女士	c=1 d=1 t=480
o1 	喔	c=1 d=1 t=858
o1 	噢	c=1 d=1 t=857
ou3 	偶	c=1 d=1.08869 t=523
pai2 chu2 	排除	c=1 d=1 t=1190
pai4 	派	c=1 d=1 t=1041
pan4 duan4 	判斷	c=2 d=1.00937 t=1106
pan4 ming4 	拚命	c=1 d=1 t=309
pao3 le5 	跑了	c=1 d=1 t=1192
pei2 xun4 	培訓	c=0 d=0.1 t=499
pei2 xun4 ou3 	培訓偶	c=1 d=1 t=500
pian4 duan4 	片段	c=1 d=1 t=1307
piao1 san4 	飄散	c=1 d=1 t=1066
piao2 	瓢	c=1 d=1 t=93
ping2 fu4 	平復	c=1 d=1 t=1172
ping2 ni3 	憑你	c=1 d=1 t=123
ping2 zhe5 	憑着	c=1 d=1 t=162
po4 	破	c=5 d=1.01039 t=1403
po4 bai4 	破敗	c=2 d=1.00947 t=1431
po4 hai4 	迫害	c=1 d=1 t=1316
pu3 tong1 	普通	c=1 d=1 t=185
qi1 dai4 	期待	c=1 d=1 t=866
qi2 	其	c=1 d=1 t=1044
qi2 chang4 	齊唱	c=1 d=1 t=1061
qi2 shi2 	其實	c=1 d=1 t=804
qi2 zhong1 	其中	c=1 d=1 t=734
qi3 	玘	c=1 d=1 t=8
qi4 	氣	c=2 d=1.93239 t=1076
qi4 wei4 	氣味	c=1 d=1 t=113
qi4 xi2 	氣息	c=1 d=1 t=1004
qia3 dao4 	卡到	c=1 d=1 t=1415
qian1 dao4 	簽到	c=1 d=1 t=1410
qian2 	前	c=2 d=1.01228 t=1020
qian2 	錢	c=1 d=1 t=139
qian2 dao3 	前導	c=3 d=2.92654 t=1421
qian2 ti2 	前提	c=1 d=1 t=1243
qian2 zou4 	前奏	c=1 d=1 t=1038
qiang2 	牆	c=2 d=1.00391 t=1429
qiang2 feng1 	強風	c=1 d=1 t=1430
qiang2 mian4 	牆面	c=1 d=1 t=279
qie1 ge1 	切割	c=1 d=1 t=291
qie3 	且	c=3 d=1.00933 t=1140
qing1 	清	c=1 d=1 t=1285
qing1 chu3 	清楚	c=1 d=1 t=458
qing1 cui4 	清脆	c=1 d=1 t=871
qing1 xie4 	傾瀉	c=1 d=1 t=963
qing2 gan3 	情感	c=2 d=1.3588 t=1306
qing2 lang3 	晴朗	c=1 d=1 t=967
qiu2 sheng1 	求生	c=1 d=1 t=1148
qu3 	曲	c=1 d=1 t=1039
qu3 jue2 	取決	c=1 d=1 t=988
qu4 	去	c=1 d=1 t=591
quan1 	圈	c=1 d=1 t=21
quan2 	全	c=0 d=0.1 t=18
que4 	卻	c=5 d=4.22143 t=324
que4 ding4 	確定	c=1 d=1 t=822
que4 shi2 	確實	c=1 d=1 t=64
qun2 dai4 	裙帶	c=1 d=1 t=1453
qun2 zhong4 	羣衆	c=1 d=1 t=1181
ran2 hou4 	然後	c=1 d=1 t=1412
rao2 she2 	饒舌	c=1 d=1 t=4
re4 	熱	c=1 d=1 t=1022
ren2 	人	c=3 d=1.54982 t=1456
